subject_number,m4_s1_corr,m4_s1_gev,m4_s1_gfp,m4_s1_duration,m4_s1_coverage,m4_s1_occurrence,m2_s1_corr,m2_s1_gev,m2_s1_gfp,m2_s1_duration,m2_s1_coverage,m2_s1_occurrence,m5_s1_corr,m5_s1_gev,m5_s1_gfp,m5_s1_duration,m5_s1_coverage,m5_s1_occurrence,m3_s1_corr,m3_s1_gev,m3_s1_gfp,m3_s1_duration,m3_s1_coverage,m3_s1_occurrence,m1_s1_corr,m1_s1_gev,m1_s1_gfp,m1_s1_duration,m1_s1_coverage,m1_s1_occurrence
S1,0.630375,0.106333,1.187469,93.141971,20.540843,1.961609,0.620278,0.083277,1.168069,87.456474,17.990752,1.786465,0.631757,0.056095,1.129842,80.626969,13.044697,1.436178,0.674028,0.233765,1.276998,111.496129,33.86577,2.644669,0.587578,0.051156,1.079887,83.402181,14.557938,1.576293
S2,0.656768,0.077893,1.419601,104.097726,16.881912,1.409204,0.680792,0.116019,1.464611,98.420101,22.076347,1.890831,0.638351,0.069968,1.423903,98.142726,15.283625,1.337852,0.720597,0.194088,1.574695,110.873559,27.527649,1.980021,0.645184,0.098115,1.521646,95.726955,18.230467,1.44488
S3,0.631489,0.039429,1.085257,76.791778,11.368069,1.340903,0.674588,0.106021,1.145422,89.200127,20.507105,2.002647,0.669585,0.114029,1.241242,91.450861,19.093062,1.793675,0.737914,0.275923,1.370986,103.392236,34.069379,2.838534,0.641778,0.05745,1.096944,75.124439,14.962385,1.776261
S4,0.645416,0.087427,1.285028,89.663289,16.828821,1.60392,0.666495,0.071989,1.256084,79.802315,14.523407,1.621545,0.671879,0.061465,1.163248,80.23152,14.586858,1.60392,0.73675,0.316474,1.421115,114.499787,40.277778,2.890581,0.644049,0.047663,1.081886,80.1665,13.783136,1.551043
S5,0.64502,0.107433,1.337318,94.601776,18.680409,1.711556,0.618933,0.066218,1.1028,85.595716,19.252182,1.899639,0.637571,0.106055,1.318533,107.915542,20.659043,1.673939,0.681045,0.181857,1.315591,110.488192,29.491423,2.351038,0.594646,0.038682,1.137169,78.923843,11.916943,1.391815
S6,0.594294,0.042217,1.138158,80.723889,12.520605,1.379632,0.642705,0.098024,1.162896,96.233017,23.077474,2.078406,0.600804,0.034844,1.16862,84.570178,9.130653,0.985451,0.717873,0.303878,1.407062,123.685724,37.160467,2.490504,0.638763,0.06458,1.07756,94.254814,18.110801,1.684226
S7,0.669473,0.148094,1.266207,112.110639,24.363636,1.835664,0.666331,0.074657,1.12009,83.182954,16.160839,1.660839,0.662845,0.092764,1.180717,99.356238,19.622378,1.625874,0.70004,0.183267,1.293794,98.216212,24.384615,2.185315,0.633913,0.057928,1.070227,85.053074,15.468531,1.573427
S8,0.643461,0.065357,1.119573,83.958239,14.70631,1.54478,0.619054,0.046744,1.10107,76.240019,11.558593,1.326694,0.640493,0.101807,1.152944,91.821066,20.732771,1.926432,0.702018,0.2459,1.283169,99.123444,33.403606,2.816953,0.655543,0.090247,1.126525,83.470495,19.598721,1.980954
S9,0.620131,0.035137,1.159115,76.463004,10.223574,1.220461,0.664819,0.147038,1.377044,89.836623,23.050799,2.104854,0.6434,0.043128,1.143027,79.752653,12.381491,1.432715,0.723095,0.241198,1.389138,98.911731,33.111646,2.830055,0.645419,0.103359,1.285609,89.325607,21.232489,2.069478
S10,0.604155,0.079512,1.246924,88.034994,18.108281,1.738452,0.606367,0.063331,1.212838,86.070582,15.071312,1.614277,0.627913,0.08964,1.191185,84.421908,20.76208,2.128716,0.681615,0.214398,1.379415,98.692001,29.993614,2.55446,0.636625,0.079736,1.252421,81.227709,16.064713,1.702973
S11,0.648735,0.019931,1.043248,78.963977,8.967114,1.038333,0.665845,0.276824,1.675805,103.241123,28.188194,2.212841,0.658882,0.051184,1.093906,96.704308,18.982774,1.702186,0.709638,0.191616,1.430964,105.806718,29.372915,2.349016,0.633333,0.061214,1.340855,79.774729,14.489004,1.531967
S12,0.62237,0.050674,1.225581,84.683974,15.238095,1.561905,0.605756,0.05532,1.226392,89.854896,17.028571,1.638095,0.625961,0.069959,1.224058,86.354206,17.691429,1.809524,0.691039,0.229951,1.607415,105.189695,28.754286,2.266667,0.630755,0.116473,1.395408,93.795695,21.287619,1.980952
S13,0.654443,0.087605,1.141553,88.036783,19.526834,1.884291,0.621591,0.045092,1.106567,76.278501,11.403448,1.308535,0.633326,0.080865,1.139367,93.212909,18.075232,1.674925,0.724222,0.288988,1.387442,115.141287,33.051853,2.425152,0.63062,0.072362,1.113636,82.993114,17.942634,1.866843
S14,0.653248,0.082565,1.089356,80.341184,17.386543,1.985078,0.656254,0.099072,1.100228,83.595464,20.740639,2.207543,0.665362,0.080899,1.107862,90.911239,16.311863,1.642823,0.72949,0.249038,1.312687,96.10504,29.871997,2.652475,0.650844,0.068879,1.063309,80.063635,15.688959,1.762612
S15,0.655867,0.081614,1.149735,84.903754,17.817449,1.823423,0.681421,0.075676,1.148558,82.321293,15.156988,1.649764,0.675166,0.109193,1.155153,93.290229,21.554598,1.997083,0.722146,0.256518,1.343777,107.132207,31.487913,2.448597,0.661259,0.06015,1.129493,76.961535,13.983051,1.701862
S16,0.632375,0.036246,1.317692,85.583626,12.563878,1.31406,0.64642,0.120324,1.775992,103.732922,19.871514,1.587823,0.625485,0.03364,1.256489,96.442481,14.396262,1.277559,0.723084,0.290337,1.934326,132.081265,35.44313,2.17185,0.635053,0.066985,1.47752,89.898417,17.725215,1.73383
S17,0.658438,0.044425,1.209505,78.216626,13.203206,1.48434,0.670067,0.08878,1.374813,83.515703,18.576518,2.003859,0.670782,0.056844,1.301157,83.31925,15.155114,1.558557,0.740015,0.310713,1.63553,107.133291,39.075256,3.005789,0.630316,0.061029,1.364458,80.96638,13.989906,1.595666
S18,0.679679,0.149743,1.29651,104.172332,22.597421,1.750797,0.632548,0.067638,1.11804,91.355573,15.150465,1.473443,0.674508,0.099458,1.191444,95.702672,19.414783,1.716128,0.70555,0.204677,1.275597,100.683617,28.803217,2.392179,0.610572,0.051418,1.039349,86.824388,14.034115,1.438774
S19,0.611225,0.051549,1.351281,95.998762,13.138075,1.168061,0.604414,0.076046,1.425908,91.791522,15.055788,1.447001,0.623892,0.068935,1.363116,88.321924,15.97629,1.551604,0.686567,0.183552,1.498488,113.030109,30.181311,2.179219,0.641117,0.140183,1.475347,104.596063,25.648536,2.004881
S20,0.674324,0.073559,1.108086,88.31128,17.695586,1.80462,0.667713,0.060825,1.076042,82.360769,15.344425,1.701499,0.701981,0.144503,1.292592,93.434141,21.07796,1.924928,0.761822,0.268844,1.365757,103.804348,30.345112,2.474907,0.661626,0.05875,1.057488,81.148631,15.536917,1.735872
S21,0.592225,0.026296,1.074964,88.819828,11.805217,1.147826,0.600896,0.034379,1.115738,98.579831,13.231304,1.217391,0.632928,0.030398,1.038593,89.697784,12.410435,1.165217,0.746806,0.512963,1.740574,137.82937,48.02087,2.591304,0.625522,0.038425,1.082455,87.523513,14.532174,1.495652
